,CensusTract,price,sqrtft,bed,bath,type,lng,lat,x,y,geoid,field_1,pop2010,UrbanType,hpi2score,economic,education,housing,healthcareaccess,neighborhood,pollution,transportation,social,insured,uncrowded,homeownership,automobile,commute,inpreschool,inhighschool,bachelorsed,employed,abovepoverty,income,retail,parkaccess,treecanopy,alcoffsale,voting,ownsevere,rentsevere,houserepair,twoparents,supermkts,ozone,pm25,dieselpm,h20contam,LEB,white_pct,asian_pct
68,6073002804,1483,500,1,1,apartment,-117.0721,32.7607,0.25123,0.22881,14000US06073002804,970,4638,urban_area,0.379549581,-0.378189051,0.534781947,-0.271784055,0.551589594,-0.3537236,0.431945371,0.654082745,0.701047635,86.1,94.6,64.1,97,18.32797428,68.5,100,42.8,65.3,51.71346978,64191,0.723601134,8.36567,6.4468252,60.80206986,67.47085202,11.25748503,53.46534653,98.50746269,94.8542024,63.84247833,0.042298794,10.37,15.22338588,228.0675951,78.63123918,66.50043365,8.586296618
69,6073002904,1402,500,1,1,apartment,-117.055139,32.76857,0.268191,0.23668,14000US06073002904,125,7316,urban_area,0.379743138,-0.927227736,1.053199719,-0.464565485,0.666995652,-0.146948123,0.427115544,0.514647402,-1.043506709,87.5,97.9,22.3,93.3,20.08196721,100,100,50.6,68.5,30.16898608,32961,0.653552438,73.52378,4.0213978,33.25587753,51.20248254,12,50.53003534,99.21671018,69.06779661,69.50348861,0.042298794,10.37,15.5460045,228.0675951,78.92903882,59.01639344,13.44537815
70,6073002904,1402,500,1,1,apartment,-117.055139,32.76857,0.268191,0.23668,14000US06073002904,201,7316,urban_area,0.379743138,-0.927227736,1.053199719,-0.464565485,0.666995652,-0.146948123,0.427115544,0.514647402,-1.043506709,87.5,97.9,22.3,93.3,20.08196721,100,100,50.6,68.5,30.16898608,32961,0.653552438,73.52378,4.0213978,33.25587753,51.20248254,12,50.53003534,99.21671018,69.06779661,69.50348861,0.042298794,10.37,15.5460045,228.0675951,78.92903882,59.01639344,13.44537815
71,6073002904,1437,500,1,1,apartment,-117.055139,32.76857,0.268191,0.23668,14000US06073002904,420,7316,urban_area,0.379743138,-0.927227736,1.053199719,-0.464565485,0.666995652,-0.146948123,0.427115544,0.514647402,-1.043506709,87.5,97.9,22.3,93.3,20.08196721,100,100,50.6,68.5,30.16898608,32961,0.653552438,73.52378,4.0213978,33.25587753,51.20248254,12,50.53003534,99.21671018,69.06779661,69.50348861,0.042298794,10.37,15.5460045,228.0675951,78.92903882,59.01639344,13.44537815
72,6073002904,1402,500,1,1,apartment,-117.055139,32.76857,0.268191,0.23668,14000US06073002904,652,7316,urban_area,0.379743138,-0.927227736,1.053199719,-0.464565485,0.666995652,-0.146948123,0.427115544,0.514647402,-1.043506709,87.5,97.9,22.3,93.3,20.08196721,100,100,50.6,68.5,30.16898608,32961,0.653552438,73.52378,4.0213978,33.25587753,51.20248254,12,50.53003534,99.21671018,69.06779661,69.50348861,0.042298794,10.37,15.5460045,228.0675951,78.92903882,59.01639344,13.44537815
73,6073002904,1800,950,2,1,townhouse,-117.057524,32.767398,0.265806,0.235508,14000US06073002904,717,7316,urban_area,0.379743138,-0.927227736,1.053199719,-0.464565485,0.666995652,-0.146948123,0.427115544,0.514647402,-1.043506709,87.5,97.9,22.3,93.3,20.08196721,100,100,50.6,68.5,30.16898608,32961,0.653552438,73.52378,4.0213978,33.25587753,51.20248254,12,50.53003534,99.21671018,69.06779661,69.50348861,0.042298794,10.37,15.5460045,228.0675951,78.92903882,59.01639344,13.44537815
74,6073002904,1400,550,1,1,apartment,-117.057524,32.767398,0.265806,0.235508,14000US06073002904,719,7316,urban_area,0.379743138,-0.927227736,1.053199719,-0.464565485,0.666995652,-0.146948123,0.427115544,0.514647402,-1.043506709,87.5,97.9,22.3,93.3,20.08196721,100,100,50.6,68.5,30.16898608,32961,0.653552438,73.52378,4.0213978,33.25587753,51.20248254,12,50.53003534,99.21671018,69.06779661,69.50348861,0.042298794,10.37,15.5460045,228.0675951,78.92903882,59.01639344,13.44537815
75,6073002904,1800,950,2,1,townhouse,-117.057524,32.767398,0.265806,0.235508,14000US06073002904,723,7316,urban_area,0.379743138,-0.927227736,1.053199719,-0.464565485,0.666995652,-0.146948123,0.427115544,0.514647402,-1.043506709,87.5,97.9,22.3,93.3,20.08196721,100,100,50.6,68.5,30.16898608,32961,0.653552438,73.52378,4.0213978,33.25587753,51.20248254,12,50.53003534,99.21671018,69.06779661,69.50348861,0.042298794,10.37,15.5460045,228.0675951,78.92903882,59.01639344,13.44537815
76,6073002904,1400,550,1,1,apartment,-117.057524,32.767398,0.265806,0.235508,14000US06073002904,725,7316,urban_area,0.379743138,-0.927227736,1.053199719,-0.464565485,0.666995652,-0.146948123,0.427115544,0.514647402,-1.043506709,87.5,97.9,22.3,93.3,20.08196721,100,100,50.6,68.5,30.16898608,32961,0.653552438,73.52378,4.0213978,33.25587753,51.20248254,12,50.53003534,99.21671018,69.06779661,69.50348861,0.042298794,10.37,15.5460045,228.0675951,78.92903882,59.01639344,13.44537815
77,6073002904,1400,550,1,1,apartment,-117.057524,32.767398,0.265806,0.235508,14000US06073002904,729,7316,urban_area,0.379743138,-0.927227736,1.053199719,-0.464565485,0.666995652,-0.146948123,0.427115544,0.514647402,-1.043506709,87.5,97.9,22.3,93.3,20.08196721,100,100,50.6,68.5,30.16898608,32961,0.653552438,73.52378,4.0213978,33.25587753,51.20248254,12,50.53003534,99.21671018,69.06779661,69.50348861,0.042298794,10.37,15.5460045,228.0675951,78.92903882,59.01639344,13.44537815
